名次	姓名	语文	数学	英语	物理	化学	生物	政治	历史	地理	总分	平均分	
0	平均	69.1	69.1	70.7	68.5	69.6	72.0	69.4	60.4	71.0	74.8	625.6	
1	小沈	94.0	95.0	72.0	86.0	78.0	78.0	不及格	95.0	96.0	737.0	73.7
2	小郑	84.0	93.0	不及格	94.0	86.0	71.0	69.0	81.0	71.0	708.0	70.8
3	小朱	97.0	91.0	88.0	86.0	86.0	不及格	61.0	不及格	82.0	701.0	70.1
4	小施	88.0	74.0	不及格	不及格	78.0	87.0	96.0	88.0	90.0	687.0	68.7
5	小何	86.0	不及格	86.0	不及格	76.0	92.0	79.0	95.0	不及格	663.0	66.3
6	小张	不及格	87.0	不及格	88.0	95.0	78.0	91.0	不及格	94.0	662.0	66.2
7	小赵	73.0	85.0	80.0	82.0	93.0	不及格	64.0	87.0	不及格	660.0	66.0
8	小金	78.0	84.0	77.0	不及格	79.0	82.0	不及格	74.0	94.0	660.0	66.0
9	小华	不及格	85.0	85.0	72.0	62.0	87.0	94.0	73.0	不及格	645.0	64.5
10	小陈	98.0	90.0	64.0	71.0	90.0	65.0	不及格	不及格	89.0	640.0	64.0
11	小魏	75.0	不及格	不及格	85.0	不及格	60.0	97.0	99.0	69.0	638.0	63.8
12	小卫	70.0	67.0	不及格	96.0	94.0	69.0	62.0	72.0	72.0	635.0	63.5
13	小孙	95.0	64.0	87.0	79.0	不及格	70.0	不及格	72.0	87.0	633.0	63.3
14	小吴	不及格	83.0	80.0	94.0	90.0	86.0	不及格	不及格	64.0	629.0	62.9
15	小吕	不及格	不及格	81.0	不及格	95.0	80.0	不及格	81.0	99.0	619.0	61.9
16	小钱	不及格	91.0	81.0	92.0	72.0	不及格	不及格	65.0	83.0	617.0	61.7
17	小杨	86.0	93.0	87.0	不及格	75.0	不及格	不及格	60.0	81.0	617.0	61.7
18	小秦	不及格	不及格	64.0	78.0	89.0	91.0	不及格	94.0	61.0	612.0	61.2
19	小孔	不及格	86.0	88.0	83.0	80.0	90.0	不及格	78.0	不及格	610.0	61.0
20	小曹	63.0	不及格	不及格	94.0	不及格	不及格	73.0	91.0	78.0	607.0	60.7
21	小楮	90.0	不及格	70.0	不及格	88.0	73.0	69.0	74.0	60.0	605.0	60.5
22	小严	不及格	71.0	77.0	60.0	91.0	79.0	90.0	不及格	61.0	602.0	60.2
23	小许	不及格	72.0	99.0	不及格	不及格	92.0	62.0	92.0	65.0	601.0	60.1
24	小蒋	82.0	不及格	63.0	70.0	60.0	67.0	不及格	69.0	92.0	600.0	60.0
25	小李	87.0	不及格	81.0	不及格	73.0	不及格	不及格	74.0	97.0	591.0	59.1
26	小冯	不及格	74.0	83.0	69.0	不及格	78.0	73.0	不及格	不及格	587.0	58.7
27	小韩	83.0	70.0	不及格	74.0	不及格	不及格	不及格	93.0	78.0	578.0	57.8
28	小尤	74.0	67.0	63.0	不及格	不及格	89.0	不及格	66.0	76.0	578.0	57.8
29	小王	75.0	83.0	不及格	不及格	72.0	不及格	不及格	64.0	80.0	525.0	52.5
30	小周	不及格	不及格	66.0	65.0	不及格	不及格	70.0	不及格	89.0	520.0	52.0
